25 18
28, 1, 1, 27, 32, 2, 2, 2, 2, 35, 9, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 
28, 1, 1, 27, 39, 2, 2, 2, 2, 37, 18, 4, 4, 4, 3, 3, 25, 25, 25, 25, 25, 25, 25, 25, 25, 
28, 1, 1, 27, 32, 2, 2, 2, 2, 19, 3, 4, 4, 4, 3, 28, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
28, 1, 1, 27, 32, 2, 2, 2, 2, 31, 3, 4, 4, 3, 3, 3, 26, 26, 26, 26, 26, 26, 26, 26, 26, 
28, 1, 1, 27, 32, 2, 2, 2, 2, 31, 3, 4, 4, 3, 3, 13, 3, 3, 3, 3, 3, 3, 3, 3, 3, 
28, 1, 1, 27, 36, 2, 2, 2, 20, 3, 3, 4, 4, 4, 4, 11, 4, 4, 4, 3, 3, 3, 3, 3, 3, 
28, 1, 1, 27, 18, 30, 2, 2, 31, 3, 4, 4, 4, 3, 3, 12, 3, 3, 4, 4, 4, 4, 4, 4, 4, 
28, 1, 1, 21, 3, 3, 33, 33, 3, 3, 4, 4, 4, 3, 25, 22, 27, 3, 3, 3, 3, 3, 3, 3, 3, 
28, 1, 1, 1, 21, 25, 25, 25, 3, 3, 4, 4, 3, 25, 1, 1, 21, 25, 25, 25, 25, 25, 25, 25, 25, 
28, 1, 1, 1, 1, 1, 1, 1, 27, 15, 14, 14, 16, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
28, 1, 1, 23, 26, 26, 26, 26, 3, 3, 4, 4, 3, 22, 1, 1, 23, 26, 26, 26, 26, 26, 26, 26, 26, 
28, 1, 1, 27, 3, 34, 34, 34, 3, 4, 4, 4, 3, 26, 24, 1, 27, 3, 39, 35, 10, 19, 3, 3, 3, 
28, 1, 1, 27, 32, 2, 2, 2, 19, 4, 4, 4, 3, 3, 28, 1, 21, 3, 36, 2, 2, 35, 34, 34, 34, 
28, 1, 1, 27, 39, 2, 2, 2, 31, 3, 4, 4, 3, 3, 22, 1, 1, 27, 18, 38, 2, 2, 2, 2, 2, 
28, 1, 1, 27, 32, 2, 2, 2, 29, 3, 4, 4, 3, 3, 26, 24, 1, 27, 3, 3, 18, 18, 33, 18, 33, 
28, 1, 1, 27, 39, 2, 2, 37, 18, 3, 4, 4, 3, 3, 3, 28, 1, 27, 3, 3, 3, 3, 3, 3, 3, 
28, 1, 1, 27, 32, 2, 2, 31, 3, 3, 4, 4, 3, 3, 3, 28, 1, 27, 3, 3, 3, 3, 3, 3, 3, 
28, 1, 1, 27, 32, 2, 2, 31, 3, 3, 4, 4, 3, 3, 3, 28, 1, 27, 3, 3, 3, 3, 3, 3, 3],
